icpsr,party_code,vote_1,vote_2,vote_3,vote_4,vote_5,vote_6,vote_7,vote_8,vote_9,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21,vote_22,vote_23,vote_24,vote_25,vote_26,vote_27,vote_28,vote_29,vote_30,vote_31,vote_32,vote_33,vote_34,vote_35,vote_36,vote_37,vote_38,vote_39,vote_40,vote_41,vote_42,vote_43,vote_44,vote_45,vote_46,vote_47,vote_48,vote_49,vote_50,vote_51,vote_52,vote_53,vote_54,vote_55,vote_56,vote_57,vote_58,vote_59,vote_60,vote_61,vote_62,vote_63,vote_64,vote_65,vote_66,vote_67,vote_68,vote_69,vote_70,vote_71,vote_72,vote_73,vote_74,vote_75,vote_76,vote_77,vote_78,vote_79,vote_80,vote_81,vote_82,vote_83,vote_84,vote_85,vote_86,vote_87,vote_88,vote_89,vote_90,vote_91
420,13.0,9.0,9.0,9.0,6.0,1.0,1.0,1.0,1.0,6.0,9.0,6.0,1.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,6.0,6.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,1.0,9.0,9.0,6.0,6.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,9.0,9.0,1.0,6.0,6.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,9.0
495,13.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,6.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,6.0
658,13.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,9.0,1.0,1.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,9.0,6.0,6.0,6.0,1.0,1.0,1.0,6.0,6.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0
810,13.0,1.0,9.0,1.0,6.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,6.0,1.0,6.0,9.0,9.0,6.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,6.0,6.0,6.0,1.0,1.0,6.0,1.0,6.0,6.0,1.0,6.0,1.0,6.0,6.0,9.0,9.0
1107,13.0,6.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,1.0,9.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,6.0,1.0,6.0,6.0,9.0,9.0,1.0,1.0,1.0,9.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0
1111,13.0,6.0,1.0,9.0,1.0,1.0,6.0,6.0,6.0,1.0,9.0,1.0,6.0,6.0,1.0,6.0,1.0,1.0,1.0,9.0,1.0,9.0,1.0,9.0,6.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,9.0,1.0,1.0,9.0,1.0,6.0,1.0,1.0,9.0,6.0,6.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,9.0,1.0,6.0,6.0,9.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0
1635,13.0,1.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,1.0,6.0,6.0,1.0,1.0,1.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0
2549,13.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,9.0,6.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,9.0,6.0,6.0,6.0,9.0,9.0
2561,13.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,9.0,6.0,1.0,6.0,6.0,1.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,6.0,6.0,1.0,9.0,1.0,1.0,9.0,1.0,6.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,9.0,6.0
2828,13.0,6.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,9.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,6.0,6.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,1.0,9.0,9.0,9.0,6.0,1.0,1.0,1.0,6.0,1.0,1.0
